	homograph	wordid	sentence	start	end
0	abuse	abuse_nou	"She described the abuse as ""mild inappropriate touching"", saying it occurred while she was sleeping and was ""fully clothed""."	18.0	23.0
1	abuse	abuse_nou	Many arranged marriages also end up being cold and dysfunctional as well, with reports of abuse.	90.0	95.0
2	abuse	abuse_nou	It smashed taboos surrounding mental health, abuse, sexuality and religion with humor and optimism.	45.0	50.0
3	abuse	abuse_nou	Members of all three groups have been involved in child sexual abuse.	63.0	68.0
4	abuse	abuse_nou	Victims of child abuse or rape should be allowed sufficient breaks as and when required during the testimony.	17.0	22.0
5	abuse	abuse_nou	In 1934, the New York Parental School was investigated amid rumors of abuse.	70.0	75.0
6	abuse	abuse_nou	The Making of Addiction: The 'Use and Abuse' of Opium in Nineteenth-Century Britain.	38.0	43.0
7	abuse	abuse_nou	Mr Burarrwanga's wider interests include Indigenous health, education and social issues, particularly substance abuse, domestic violence and family health.	112.0	117.0
8	abuse	abuse_nou	In the hearse with Charlie he discusses the abuse he has received from his wife.	44.0	49.0
9	abuse	abuse_nou	In accordance, although very rare, case reports of modafinil abuse exist.	61.0	66.0
10	abuse	abuse_nou	Satan's Silence: Ritual Abuse and the Making of a Modern American Witch Hunt.	24.0	29.0
11	abuse	abuse_nou	These claims are backed up by a swelling number of academic studies and insider accounts of misconduct and abuse.	107.0	112.0
12	abuse	abuse_nou	The bills are designed to protect children from the abuse of restraint and seclusion in school.	52.0	57.0
13	abuse	abuse_nou	This is how most partners adapt to verbal abuse.	42.0	47.0
14	abuse	abuse_nou	Victims of The Village: Expose of rural Child Abuse.	46.0	51.0
15	abuse	abuse_nou	The album's lyrics focus on subjects such as propaganda, Catholic sex abuse cases, terrorism and fame.	70.0	75.0
16	abuse	abuse_nou	On September 30, 2016, Gibbs was acquitted of all charges related to the sexual abuse allegations.	80.0	85.0
17	abuse	abuse_nou	This naturally occurring deficiency is one of the most studied genetic vulnerabilities to substance abuse across the field.	100.0	105.0
18	abuse	abuse_nou	Incidence of drug abuse is minuscule, compared with other industrialized nations and limited mainly to stimulants.	18.0	23.0
19	abuse	abuse_nou	The settlement was the largest settlement ever awarded for a sexual abuse case in Quebec history.	68.0	73.0
20	abuse	abuse_nou	Despite periodic investigations, changes of leadership, and promises to improve, the allegations of cruelty and abuse continued.	112.0	117.0
21	abuse	abuse_nou	We didn't say 'We need a drug song or a child abuse song,' but when they fit, we used them.	46.0	51.0
22	abuse	abuse_nou	This valve is weakened by drug abuse.	31.0	36.0
23	abuse	abuse_nou	"There were incidences of abuse, however, with one example having been recorded in the ""Records of Officialdom""."	25.0	30.0
24	abuse	abuse_nou	Allegations included rape, sodomy, fellatio and bizarre acts characteristic of satanic ritual abuse.	94.0	99.0
25	abuse	abuse_nou	Gangsterism and drug abuse has increased and a number of informal settlements has sprung up in several areas.	21.0	26.0
26	abuse	abuse_nou	Because of their potential for abuse, sweepstakes are heavily regulated in many countries.	31.0	36.0
27	abuse	abuse_nou	He chaired the 1992 Orkney child abuse inquiry.	33.0	38.0
28	abuse	abuse_nou	There are allegations of torture and abuse of prisoners.	37.0	42.0
29	abuse	abuse_nou	After a long struggle with drug abuse, Breau was finally sober.	32.0	37.0
30	abuse	abuse_nou	Similarly the novel deals with the misuse and abuse of land in the south.	46.0	51.0
31	abuse	abuse_nou	In adoptive homes, child neglect and abuse and even divorce between the parents is uncommon.	37.0	42.0
32	abuse	abuse_nou	One student pleaded guilty to second degree sexual abuse.	51.0	56.0
33	abuse	abuse_nou	In running the site, police rescued 85 children from ongoing abuse and arrested hundreds.	61.0	66.0
34	abuse	abuse_nou	Three days later, police announced that a further seven people had come forward with allegations of abuse by Ball.	100.0	105.0
35	abuse	abuse_nou	Defiance of, or appeals to, the Nationalities Law met with derision or abuse.	71.0	76.0
36	abuse	abuse_nou	However, history has still shown the abuse of the vulnerable members of society through medical and psychiatric institutions.	37.0	42.0
37	abuse	abuse_nou	Advocacy services that encourage victims to establish abuse-free lives.	54.0	59.0
38	abuse	abuse_nou	Outraged workers surveyed CPS men in other hospitals and learned of the degree of abuse throughout the psychiatric care system.	82.0	87.0
39	abuse	abuse_nou	"He promised that if elected he would create an office of internal affairs to investigate ""fraud, waste and abuse""."	107.0	112.0
40	abuse	abuse_nou	Princess is a child abuse survivor studies, who was abused several times by her close associates.	20.0	25.0
41	abuse	abuse_nou	There has been speculation over whether the new SNDRIs will have an abuse potential like cocaine does.	68.0	73.0
42	abuse	abuse_nou	He also recommended that a program of compensation be established for the victims of sexual abuse at Kingsclear (see below).	92.0	97.0
43	abuse	abuse_nou	They urged civilian review boards to hear complaints of police abuse, a demand that was ultimately met.	63.0	68.0
44	abuse	abuse_nou	The first video shows ten prison guards conducting physical and verbal abuse on prisoners.	71.0	76.0
45	abuse	abuse_nou	The Report of the National Commission on Marihuana and Drug Abuse.	60.0	65.0
46	abuse	abuse_nou	Developing and implementing AOD abuse prevention strategies.	32.0	37.0
47	abuse	abuse_nou	Etiological correlates of vaginismus: Sexual and physical abuse, sexual knowledge, sexual self-schema, and relationship adjustment.	58.0	63.0
48	abuse	abuse_nou	"However, ""in many cases of animal advocacy groups versus organisations accused of animal abuse, both sides have cultural claims."""	89.0	94.0
49	abuse	abuse_nou	Some such suits accuse the Vatican of complicity in sexual abuse by priests and money laundering.	59.0	64.0
50	abuse	abuse_nou	One commentator suggested it was part of a pattern of sexual abuse of prisoners.	61.0	66.0
51	abuse	abuse_nou	"Milwaukee Journal Sentinel, ""Man recounts abuse by priests, says pope should be held accountable,"" 25 March 2010."	42.0	47.0
52	abuse	abuse_nou	Ecological Risk Assessment: Use, Abuse, and Alternatives.	33.0	38.0
53	abuse	abuse_nou	Child abuse was a problem, and the government continued its efforts to monitor abuse and prosecute offenders.	79.0	84.0
54	abuse	abuse_nou	Disqualifying events include convictions for domestic violence and child abuse.	73.0	78.0
55	abuse	abuse_nou	Environmental factors in the individual's adolescence include: child abuse, exposure to drugs, lack of supervision, media influence, and peer pressure.	69.0	74.0
56	abuse	abuse_nou	Compton, much like the rest of the nation, it troubled with drug abuse problems and street gang violence.	65.0	70.0
57	abuse	abuse_nou	His abuse is interrupted by the arrival of Ramvati's son, Jeeva, who intervenes.	4.0	9.0
58	abuse	abuse_nou	Some conditions they face include no time off; sexual, physical, and emotional abuse; withholding of wages; and restrictions of movement.	79.0	84.0
59	abuse	abuse_nou	She also has a certificate as a sexual abuse counsellor.	39.0	44.0
60	abuse	abuse_nou	Tanenbaum notes that MacKinnon misrepresents the prevalence of violence and abuse.	76.0	81.0
61	abuse	abuse_nou	This study did not treat substance abuse as a mental health disorder.	35.0	40.0
62	abuse	abuse_nou	He has worked to fund public education and to protect youth from abuse.	65.0	70.0
63	abuse	abuse_nou	The Speed Culture: Amphetamine Use and Abuse in America.	39.0	44.0
64	abuse	abuse_nou	Jersey Police have so far recorded claims of abuse from 100 people.	45.0	50.0
65	abuse	abuse_nou	Bishop Louis Edward Gelineau was criticized for his management of sexual abuse allegations in the Providence Diocese.	73.0	78.0
66	abuse	abuse_nou	Sexual abuse can happen because the female wants comfort, she has affiliation needs, she wants power, or sexual gratification.	7.0	12.0
67	abuse	abuse_nou	They do not include other factors of disadvantage such as unemployment, race, sexual orientation or abuse.	100.0	105.0
68	abuse	abuse_nou	Stedman SJ, Tanner F. Refugee Manipulation: War, Politics, and the Abuse of Human Suffering.	67.0	72.0
69	abuse	abuse_nou	Barros has been accused of complicity in an abuse case there.	44.0	49.0
70	abuse	abuse_nou	This led to abuse of drugs such as cocaine, which quickly escalated into addiction.	12.0	17.0
71	abuse	abuse_nou	However, the stress encountered while recording Fun Terminal, drug abuse, alcoholism, and family commitments changed the scope of the band.	67.0	72.0
72	abuse	abuse_vrb	In 2016, John found Skye in his house, learning that Carol continues to abuse Skye and allows her to stay.	72.0	77.0
73	abuse	abuse_vrb	Ellen occasionally guesses correctly, causing Kate to become angry and verbally or physically abuse her.	94.0	99.0
74	abuse	abuse_vrb	Litigants, attorneys, law enforcement and judiciary can abuse the system, sometimes accidentally but more often intentionally.	56.0	61.0
75	abuse	abuse_vrb	Richard suffers from poor health and is a recovering alcoholic, but Elizabeth continues to drink excessively and abuse prescription medication.	113.0	118.0
76	abuse	abuse_vrb	But day after day, Ilavarasi's father continues to verbally abuse them and looks at them as thieves.	60.0	65.0
77	abuse	abuse_vrb	"In ""Tante Sun"" satirize state official wives who abuse the authority of their husbands."	49.0	54.0
78	abuse	abuse_vrb	Vaishnavi cited that Nitin used to physically abuse her, which forced her to opt for divorce.	46.0	51.0
79	abuse	abuse_vrb	Marty can already tell how much Judd is going to abuse Shiloh.	49.0	54.0
80	abuse	abuse_vrb	However - with new technology, with new travelling arrangements, and indeed with people who want to abuse the system using that technology - it has become more and more difficult for the authorities to treat people in an appropriate and fair manner in handling their cases.		
81	abuse	abuse_vrb	They should not abuse directives by including things that they do not have the courage to bring in under separate national legislation as they should under the rules of subsidiarity.		
82	abuse	abuse_vrb	I would ask you not to abuse the Rules of Procedure in order to take the floor.		
83	abuse	abuse_vrb	This will help reduce future distortions of competition and make it more difficult for those who might seek to abuse their market power.		
84	abuse	abuse_vrb	There will always be people out to abuse the system.		
85	abuse	abuse_vrb	I did not want to abuse the catch-the-eye system on a different debate, which was an important issue on the death penalty.		
86	abuse	abuse_vrb	I do not wish to abuse this position, because I am sure I would be criticised for using this platform to defend the actions of a particular Member State or of a central or regional government of a specific country.		
87	abuse	abuse_vrb	I have another concern: at a time when international terrorism ranks among our greatest anxieties, we all too often see terrorists and their front organisations and political apologists abuse the human rights label for their own purposes as a political weapon and as a means of reducing the effectiveness of the security forces operating against them.		
88	abuse	abuse_vrb	It will not be possible for a non-EU citizen to abuse his status in order to break laws or, for example, traffic rules. We will soon be agreed on this.		
0	abuses	abuses_nou	Strong Paraguayan-U.S. relations continued until the Carter Administration emphasized a foreign policy that recognized human rights abuses.	132.0	138.0
1	abuses	abuses_nou	Reported abuses of human rights in Tibet include restricted freedom of religion, belief, and association.	9.0	15.0
2	abuses	abuses_nou	Gee brought correction to the abuses of Spiritual Gifts and systematically taught the people the Word.	30.0	36.0
3	abuses	abuses_nou	He has campaigned against abuses of the postal vote system and helped to bring about some reforms to it.	26.0	32.0
4	abuses	abuses_nou	This early failure to correct abuses in his diocese did not discourage von Utenheim from reformist enterprises however.	30.0	36.0
5	abuses	abuses_nou	The tax farmers, and their interpreters and foremen, were known to be corrupt and commit abuses, especially against Aborigines.	89.0	95.0
6	abuses	abuses_nou	In 1873, Khaznadar again undertook reforms and attacked the widespread financial abuses within the bureaucracy.	81.0	87.0
7	abuses	abuses_nou	The opportunity to denounce the abuses of the Protectorate authorities was given to me.	32.0	38.0
8	abuses	abuses_nou	Once in office, Garrison cracked down on prostitution and the abuses of Bourbon Street bars and strip joints.	62.0	68.0
9	abuses	abuses_nou	Boche was later placed in a foster family in 1999, after suffering repeated physical and emotional abuses over 5 years.	99.0	105.0
10	abuses	abuses_nou	When the report was publicised, there was public outrage in Britain over the abuses.	77.0	83.0
11	abuses	abuses_nou	The Wolf Brigade become closely and publicly associated with detainee and other human rights abuses.	93.0	99.0
12	abuses	abuses_nou	But there was nothing prudish about their concerted opposition to civil rights abuses.	79.0	85.0
13	abuses	abuses_nou	All the slain journalists were investigating controversial issues within Honduran society, including corruption, drug trafficking and human rights abuses.	147.0	153.0
14	abuses	abuses_nou	The people needed more time for productive pursuits while correcting social abuses of the past.	76.0	82.0
15	abuses	abuses_nou	If you cannot permit abuses, you must at least tolerate them.	21.0	27.0
16	abuses	abuses_nou	An Online Complaint Center for consumers to report privacy abuses and request information on ways to protect their privacy.	59.0	65.0
17	abuses	abuses_nou	In June 2015, Grassley introduced legislation to help protect taxpayers from alleged abuses by the Internal Revenue Service.	85.0	91.0
18	abuses	abuses_nou	The abuses occur not only on the street but also in schools.	4.0	10.0
19	abuses	abuses_nou	Abuses of electronic surveillance by the federal government such as Project SHAMROCK led to reform legislation in the 1970s.	0.0	6.0
20	abuses	abuses_nou	Wolves Within the Fold: Religious Leadership and Abuses of Power.	49.0	55.0
21	abuses	abuses_nou	This is a term coined in missiological circles describing some of the abuses and failures in the mission field.	70.0	76.0
22	abuses	abuses_nou	The US government received no reports of societal abuses or discrimination based on religious belief or practice.	50.0	56.0
23	abuses	abuses_nou	Some groups are especially vulnerable to human rights abuses collateral to drug law enforcement.	54.0	60.0
24	abuses	abuses_nou	In 1274, Kublai appointed Lian Xixian to investigate abuses of power by Mongol appanage holders in Manchuria.	53.0	59.0
25	abuses	abuses_nou	In the past, priests who committed abuses were removed by bishops, but bishops were rarely held accountable.	35.0	41.0
26	abuses	abuses_nou	During the year the government conducted some trials for abuses committed in the context of internal conflicts in the east.	57.0	63.0
27	abuses	abuses_nou	The commission documents abuses by the Forces Armée Rwandaise (FAR), which included both the national police and the military.	25.0	31.0
28	abuses	abuses_nou	In contrast, the humanitarian movement thought reform essential to remove abuses.	74.0	80.0
29	abuses	abuses_nou	Declamation on abuses introduced into the Castilian, presented and awarded at the Spanish Academy, 1791.	15.0	21.0
30	abuses	abuses_nou	Establishment of measures to end abuses in the church.	33.0	39.0
31	abuses	abuses_nou	He was elected to the colony's assembly and spoke out against governmental abuses.	75.0	81.0
32	abuses	abuses_nou	Nonetheless, when government abuses against the leaders of the WFM seemed too egregious, Gompers relented and offered assistance.	29.0	35.0
33	abuses	abuses_nou	It also reported on other human rights abuses in the country.	39.0	45.0
34	abuses	abuses_nou	The speech penned by Sallust for Memmius describes various abuses, and is used to argue that all monarchs are corrupt.	59.0	65.0
35	abuses	abuses_nou	NAWHERC has been active in reporting abuses in reproductive care and medication in the Native American community.	37.0	43.0
36	abuses	abuses_nou	They travel to Uruk to confront Gilgamesh and stop his abuses.	55.0	61.0
37	abuses	abuses_nou	Student Loan Law: Collections, Intercepts, Deferments, Discharges, Repayment Plans, and Trade School Abuses.	101.0	107.0
38	abuses	abuses_nou	Canada became an outspoken critic of the Taliban's human rights abuses against the citizens of Afghanistan.	64.0	70.0
39	abuses	abuses_nou	Since the 1970s, the European Court of Human Rights has condemned Turkey for the thousands of human rights abuses.	107.0	113.0
40	abuses	abuses_nou	Broken Shield, a series of investigations into police failures and abuses.	67.0	73.0
41	abuses	abuses_nou	There are also abuses of media rights and access.	15.0	21.0
42	abuses	abuses_nou	Chinese Human Rights Defenders, Re-education through Labor Abuses Continue Unabated: Overhaul Long Overdue, 4 February 2009.	59.0	65.0
43	abuses	abuses_nou	During the 1992 War of Transnistria the village was the scene of alleged human rights abuses by Moldovans.	86.0	92.0
44	abuses	abuses_nou	For example, a World Rainforest Movement report documents land disputes and human rights abuses at Mount Elgon.	89.0	95.0
45	abuses	abuses_nou	There were reports of societal abuses and discrimination based on religious affiliation, belief, or practice.	31.0	37.0
46	abuses	abuses_nou	It was dismantled in 1958 after the Party Congress that discussed his abuses.	70.0	76.0
47	abuses	abuses_nou	Highly influenced by the Jindyworobak Movement, it also describes the inter-racial relationships and abuses of the period.	101.0	107.0
48	abuses	abuses_nou	The specific purposes of the shortwave radio program are:- Helping victims of oppressions, labor abuses, corruptions, etc.	97.0	103.0
49	abuses	abuses_nou	There were few reports of societal abuses or discrimination based on religious belief or practice.	35.0	41.0
50	abuses	abuses_nou	There were reports of societal abuses based on religious affiliation, belief, or practice.	31.0	37.0
51	abuses	abuses_nou	According to the U.S. State Department, major human rights abuses occur in the country.	59.0	65.0
52	abuses	abuses_nou	It is tasked with investigating allegations of human rights abuses and journalist intimidation.	60.0	66.0
53	abuses	abuses_nou	He has focused on how multinational corporations operate in foreign countries, documenting human rights and environmental abuses.	122.0	128.0
54	abuses	abuses_nou	Frank and outspoken, he took every opportunity to denounce the abuses and arrogance of the Spaniards.	63.0	69.0
55	abuses	abuses_nou	"The 1979 Beach Inquiry found that the Armed Robbery Squad had committed ""abuses."	73.0	79.0
56	abuses	abuses_nou	The organization advocates for a federal inquiry/committee to investigate illegal, unethical and human rights abuses in adoption practice in Canada.	110.0	116.0
57	abuses	abuses_nou	Among other abuses, this most obviously involves abuse of article 17 of the Universal Declaration of Human Rights.	12.0	18.0
58	abuses	abuses_nou	Owing to abuses a Public Inquiry was held in 1938 and the Urban Council dissolved.	9.0	15.0
59	abuses	abuses_nou	"Its stated mission is to ""eradicate abuses committed under the guise of mental health and enact patient and consumer protections."""	36.0	42.0
60	abuses	abuses_nou	Meanwhile, the minimum wage remains well below that on the U.S. mainland, and abuses of vulnerable workers are commonplace.	78.0	84.0
61	abuses	abuses_nou	"It also said that many abuses were deliberately misreported as ""accidents""."	23.0	29.0
62	abuses	abuses_nou	There were limited reports of societal abuses or discrimination based on religious belief or practice.	39.0	45.0
63	abuses	abuses_nou	Upon release, he eventually headed a New Zealand commission of investigation into abuses at Sime Road Internment Camp.	82.0	88.0
64	abuses	abuses_nou	Police routinely investigated such allegations, which rarely resulted in punishment (see section 5 Other Societal Abuses and Discrimination).	114.0	120.0
65	abuses	abuses_nou	After 1993, he became concerned about plaintiff attorney abuses of the Unfair Competition Law he had been instrumental in drafting.	57.0	63.0
66	abuses	abuses_vrb	Lyrically the track is written about a failing relationship caused by a lover who abuses alcohol.	82.0	88.0
67	abuses	abuses_vrb	Mrs. Reed: Jane's aunt by marriage, who adopts Jane on her husband's wishes, but abuses and neglects her.	81.0	87.0
